city_name,lat,lng,max_temp,hum,cloud,wind_speed,country_code,date
Kutum,14.2,24.67,83.82,14,0,5.37,SD,10/23/2020
Saint-Philippe,-21.36,55.77,75.2,73,75,16.11,RE,10/23/2020
Makokou,0.57,12.86,77.02,90,100,2.19,GA,10/23/2020
Leh,34.17,77.58,36.84,59,79,3.74,IN,10/23/2020
Iqaluit,63.75,-68.51,28.4,79,90,3.36,CA,10/23/2020
Yellowknife,62.46,-114.35,21.2,92,75,8.05,CA,10/23/2020
Te Anau,-45.42,167.72,45.59,82,92,4.68,NZ,10/23/2020
Anloga,5.79,0.9,87.8,66,20,13.87,GH,10/23/2020
Mandalgovi,45.76,106.27,37.74,61,82,7.02,MN,10/23/2020
Tiksi,71.69,128.87,17.35,96,100,7.7,RU,10/23/2020
Santo Tomas,14.11,121.14,79,94,90,2.24,PH,10/23/2020
Honningsvåg,70.98,25.97,39.2,80,75,29.97,NO,10/23/2020
Kieta,-6.22,155.63,78.73,74,61,4.32,PG,10/23/2020
Qingdao,36.1,120.37,48.99,45,0,2.24,CN,10/23/2020
Bonito,-21.12,-56.48,82.72,70,62,6.6,BR,10/23/2020
Angoche,-16.23,39.91,76.08,76,0,10.89,MZ,10/23/2020
Videira,-27.01,-51.15,85.06,31,85,4.5,BR,10/23/2020
Mosetse,-20.75,26.65,87.84,19,0,13.65,BW,10/23/2020
Nangal,31.37,76.38,68.45,25,0,3.69,IN,10/23/2020
Ponta do Sol,32.67,-17.1,69.8,56,40,14.99,PT,10/23/2020
Lamu,-2.27,40.9,82.4,74,1,15.93,KE,10/23/2020
Vestmanna,62.16,-7.17,46.4,87,100,13.87,FO,10/23/2020
Saurimo,-9.66,20.39,70.21,85,92,10.09,AO,10/23/2020
Cherskiy,68.75,161.3,17.8,94,75,6.13,RU,10/23/2020
Beira,-19.84,34.84,78.8,69,0,16.11,MZ,10/23/2020
Vanavara,60.34,102.28,27.99,97,85,6.6,RU,10/23/2020
Parrita,9.52,-84.32,77,83,40,6.93,CR,10/23/2020
Ulladulla,-35.35,150.47,64.99,100,90,8.05,AU,10/23/2020
Ancud,-41.87,-73.82,57.99,81,75,6.93,CL,10/23/2020
Khandyga,62.67,135.6,10.09,93,0,1.39,RU,10/23/2020
Kulhudhuffushi,6.62,73.07,82.69,77,33,14.52,MV,10/23/2020
Mukhen,48.1,136.1,33.13,95,100,16.6,RU,10/23/2020
Puerto Ayora,-0.74,-90.35,73.4,83,75,13.87,EC,10/23/2020
Atambua,-9.11,124.89,76.44,83,69,2.17,ID,10/23/2020
Athens,37.98,23.72,77,55,0,1.79,GR,10/23/2020
Gao,16.64,1.64,98.96,9,0,17.65,ML,10/23/2020
Tasiilaq,65.61,-37.64,33.8,69,75,8.05,GL,10/23/2020
Vila Franca do Campo,37.72,-25.43,68,68,20,12.75,PT,10/23/2020
Victor Harbor,-35.57,138.62,55.99,76,76,4,AU,10/23/2020
Hay River,60.82,-115.8,21.2,92,75,10.29,CA,10/23/2020
Asău,46.43,26.4,59,63,58,5.14,RO,10/23/2020
Coyhaique,-45.58,-72.07,57.2,47,75,9.17,CL,10/23/2020
Kagoro,9.6,8.38,82.09,50,54,1.01,NG,10/23/2020
Lorengau,-2.02,147.27,81.82,73,26,6.02,PG,10/23/2020
Souillac,-20.52,57.52,75.2,69,75,10.29,MU,10/23/2020
Klaksvík,62.23,-6.59,46.4,87,100,13.87,FO,10/23/2020
Tamayo,18.39,-71.2,86,79,40,6.93,DO,10/23/2020
Thompson,55.74,-97.86,19.4,79,75,9.17,CA,10/23/2020
Dakar,14.69,-17.44,87.8,66,0,13.87,SN,10/23/2020
Yanam,16.73,82.22,84.2,74,75,9.17,IN,10/23/2020
Beringovskiy,63.05,179.32,33.78,91,42,20.33,RU,10/23/2020
Bethel,41.37,-73.41,64.99,93,90,5.82,US,10/23/2020
Obihiro,42.92,143.2,47.97,83,4,6.24,JP,10/23/2020
Mananara,-16.17,49.77,71.94,84,1,5.1,MG,10/23/2020
Nikolskoye,59.7,30.79,50,87,90,11.18,RU,10/23/2020
Dukat,62.55,155.55,20.73,88,43,6.17,RU,10/23/2020
Los Rastrojos,10.03,-69.24,86,51,20,6.93,VE,10/23/2020
Port Blair,11.67,92.75,81.82,82,100,3.76,IN,10/23/2020
Kiryat Gat,31.61,34.76,80.6,65,0,8.05,IL,10/23/2020
Ouargaye,11.5,0.06,97.21,14,0,9.71,BF,10/23/2020
Qaanaaq,77.48,-69.36,19.98,94,100,9.19,GL,10/23/2020
Stephenville,32.22,-98.2,59,87,90,19.46,US,10/23/2020
Pļaviņas,56.62,25.73,50.65,85,55,10.02,LV,10/23/2020
Bathsheba,13.22,-59.52,86,74,40,24.16,BB,10/23/2020
Bowral,-34.47,150.42,66.99,89,100,1.01,AU,10/23/2020
Port Elizabeth,-33.92,25.57,68,82,20,18.34,ZA,10/23/2020
Santa Vitória do Palmar,-33.52,-53.37,68.16,88,100,0.72,BR,10/23/2020
Biak,-0.91,122.88,77.63,82,12,0.65,ID,10/23/2020
Atuona,-9.8,-139.03,77.27,80,19,20.96,PF,10/23/2020
Mpraeso,6.59,-0.73,83.5,63,40,0.83,GH,10/23/2020
Lompoc,34.64,-120.46,62.6,77,90,3.36,US,10/23/2020
Kīhei,20.79,-156.47,71.6,68,1,0.98,US,10/23/2020
Sambava,-14.27,50.17,75.15,75,4,12.68,MG,10/23/2020
Forsytheganj,52.63,29.73,53.69,79,100,9.31,BY,10/23/2020
Srednekolymsk,67.45,153.68,13.86,90,21,1.45,RU,10/23/2020
Carnarvon,-24.87,113.63,71.6,68,0,12.75,AU,10/23/2020
General Pico,-35.66,-63.76,73.4,58,79,9.48,AR,10/23/2020
Khilok,51.37,110.47,30.34,91,12,1.43,RU,10/23/2020
Kidal,18.44,1.41,98.24,9,0,19.46,ML,10/23/2020
Cunha,-23.07,-44.96,76.73,57,26,4.21,BR,10/23/2020
Bubaque,11.28,-15.83,85.14,68,28,5.23,GW,10/23/2020
Chernihiv,51,32,57.43,63,100,8.97,UA,10/23/2020
Miles City,46.41,-105.84,10.4,92,75,5.82,US,10/23/2020
Luancheng,37.88,114.65,37.4,74,0,3.22,CN,10/23/2020
Lufilufi,-13.87,-171.6,75.2,100,75,3.36,WS,10/23/2020
Lubango,-14.92,13.49,84.2,45,75,11.41,AO,10/23/2020
Kirakira,-10.45,161.92,78.64,83,98,7.81,SB,10/23/2020
Karratha,-20.74,116.85,70.48,73,0,14.88,AU,10/23/2020
Belmonte,-15.86,-38.88,77,83,90,4.7,BR,10/23/2020
Meadow Lake,34.8,-106.54,61,29,1,3.36,US,10/23/2020
Sabang,5.89,95.32,83.17,75,100,9.08,ID,10/23/2020
Vardø,70.37,31.11,39.2,86,75,58.61,NO,10/23/2020
Ocampo,21.65,-101.5,67.96,34,2,2.44,MX,10/23/2020
Flin Flon,54.77,-101.86,23,79,90,9.17,CA,10/23/2020
Argostoli,38.18,20.49,75.2,83,0,5.82,GR,10/23/2020
Ayan,56.45,138.17,31.89,89,99,15.97,RU,10/23/2020
São Félix do Xingu,-6.64,-51.99,99.84,32,90,3.74,BR,10/23/2020
Kiama,-34.68,150.87,66.99,89,100,1.01,AU,10/23/2020
Ilulissat,69.22,-51.1,14.49,87,84,1.52,GL,10/23/2020
Morehead,37.27,-87.18,78.8,69,90,11.41,US,10/23/2020
Shakhtinsk,49.71,72.59,24.8,62,40,8.95,KZ,10/23/2020
Nosy Varika,-20.58,48.53,73.04,79,3,4.54,MG,10/23/2020
São Filipe,14.9,-24.5,81.64,73,1,12.88,CV,10/23/2020
Diapaga,12.07,1.79,97.88,11,0,10.45,BF,10/23/2020
Mata,40.68,-7.46,60.01,64,45,8.01,PT,10/23/2020
Borgarnes,64.54,-21.92,44.6,70,75,25.28,IS,10/23/2020
Kismayo,-0.36,42.55,80.89,81,72,16.2,SO,10/23/2020
Samarai,-10.62,150.67,80.04,86,62,5.93,PG,10/23/2020
Jalu,29.03,21.55,74.28,45,16,10.47,LY,10/23/2020
Katangli,51.71,143.23,48.4,93,100,36.89,RU,10/23/2020
Jasper,37.2,-94.35,42.01,86,90,19.46,US,10/23/2020
Vaitape,-16.52,-151.75,79.38,75,78,10.67,PF,10/23/2020
Dunda,-8.12,34.25,83.41,31,87,10.11,TZ,10/23/2020
Westport,41.14,-73.36,64.99,93,90,9.17,US,10/23/2020
Shiraz,29.6,52.54,59,22,0,1.12,IR,10/23/2020
Pangnirtung,66.15,-65.71,26.6,92,90,3.36,CA,10/23/2020
Chui,-33.7,-53.46,68.38,86,100,2.55,UY,10/23/2020
Hof,50.32,11.92,55.99,93,90,9.17,DE,10/23/2020
Sovetskiy,61.36,63.58,24.08,95,0,4.65,RU,10/23/2020
Camasca,14,-88.38,84.2,70,20,2.24,HN,10/23/2020
Panjāb,34.39,67.02,30.45,82,0,4.85,AF,10/23/2020
Deputatsky,69.3,139.9,1.27,88,98,3.49,RU,10/23/2020
Berdigestyakh,62.1,126.7,21.49,93,100,9.37,RU,10/23/2020
Sai Buri,6.7,101.62,75.2,100,20,3.36,TH,10/23/2020
Nyurba,63.28,118.33,34.11,89,98,12.1,RU,10/23/2020
Manono,-7.3,27.42,76.12,82,83,2.19,CD,10/23/2020
Raudeberg,61.99,5.14,44.01,73,100,11.1,NO,10/23/2020
Plettenberg Bay,-34.05,23.37,69.73,78,21,6.62,ZA,10/23/2020
Xinmin,41.99,122.83,26.6,86,0,2.24,CN,10/23/2020
Pamplona,42.82,-1.64,64,48,40,6.93,ES,10/23/2020
San Martín,-33.08,-68.47,73.4,49,0,5.82,AR,10/23/2020
Coahuayana Viejo,18.73,-103.68,78.8,78,40,0.38,MX,10/23/2020
Katobu,-4.94,122.53,77.43,86,21,3.98,ID,10/23/2020
Progreso,21.28,-89.67,88,79,75,6.93,MX,10/23/2020
Komsomol'skoye,55.26,47.55,44.2,96,100,7.99,RU,10/23/2020
Khovd,48.01,91.64,37.96,67,100,0.54,MN,10/23/2020
Arraial do Cabo,-22.97,-42.03,80.6,54,20,16.11,BR,10/23/2020
Labuhan,-6.88,112.21,81.3,75,46,3.96,ID,10/23/2020
Kailua,21.4,-157.74,80.6,78,75,6.46,US,10/23/2020
Sun Valley,39.6,-119.78,41,47,20,2.84,US,10/23/2020
Port Hedland,-20.32,118.57,73.4,88,0,11.41,AU,10/23/2020
Batagay-Alyta,67.8,130.41,7.99,91,100,5.53,RU,10/23/2020
Sitka,57.05,-135.33,33.8,37,1,4.7,US,10/23/2020
Lázaro Cárdenas,17.96,-102.2,84.85,71,31,1.48,MX,10/23/2020
Avera,33.19,-82.53,78.8,74,40,5.82,US,10/23/2020
Brandenburg,52.42,12.55,62.01,10,99,1.3,DE,10/23/2020
Vieste,41.88,16.18,66.2,63,40,11.41,IT,10/23/2020
Lavrentiya,65.58,-171,33.75,91,74,9.46,RU,10/23/2020
Hasaki,35.73,140.83,62.6,93,75,6.93,JP,10/23/2020
Fairbanks,64.84,-147.72,18,84,1,3.33,US,10/23/2020
Médéa,36.26,2.75,75.2,50,40,10.29,DZ,10/23/2020
Nouadhibou,20.93,-17.03,78.8,57,99,17.22,MR,10/23/2020
Lata,40.16,-8.33,66.99,72,62,7,PT,10/23/2020
Shibetsu,43.66,145.13,53.96,82,58,10.11,JP,10/23/2020
Makakilo City,21.35,-158.09,80.6,69,90,12.75,US,10/23/2020
Big Spring,32.25,-101.48,48.2,70,90,21.92,US,10/23/2020
Esim,4.87,-2.24,81.5,78,98,8.1,GH,10/23/2020
Constitución,-35.33,-72.42,60.31,61,1,11.41,CL,10/23/2020
Rosetta,31.4,30.42,77,65,40,10.29,EG,10/23/2020
Kathu,7.92,98.33,75.2,100,75,1.12,TH,10/23/2020
Vagay,57.94,69.02,24.33,91,95,4.47,RU,10/23/2020
Atlantic City,39.36,-74.42,66,93,90,4.7,US,10/23/2020
Biltine,14.53,20.92,93.81,11,0,8.32,TD,10/23/2020
Hofn,64.25,-15.21,46.4,81,90,17.22,IS,10/23/2020
Outlook,51.5,-107.05,19,77,0,5.19,CA,10/23/2020
Beloha,-25.17,45.05,73.47,74,84,19.51,MG,10/23/2020
Oga,46.46,10.35,50,87,75,4.7,IT,10/23/2020
Banda Aceh,5.56,95.32,81.28,77,99,5.68,ID,10/23/2020
Berlevåg,70.86,29.09,37.4,86,75,39.15,NO,10/23/2020
Mahébourg,-20.41,57.7,75.2,69,75,10.29,MU,10/23/2020
Pahlgām,34.03,75.33,44.26,54,3,2.71,IN,10/23/2020
Iquitos,-3.75,-73.25,84.2,74,40,3.36,PE,10/23/2020
Cambridge,43.36,-80.31,73.99,82,40,13.87,CA,10/23/2020
Torbay,47.67,-52.73,46,66,75,9.17,CA,10/23/2020
Novikovo,51.15,37.89,56.95,72,100,8.52,RU,10/23/2020
Nuuk,64.18,-51.72,30.2,63,75,10.29,GL,10/23/2020
Pacific Grove,36.62,-121.92,60.01,82,90,4.7,US,10/23/2020
Codrington,-38.27,141.97,52.43,87,100,14.34,AU,10/23/2020
Ondjiva,-17.07,15.73,96.12,13,81,2.91,AO,10/23/2020
Santa Cruz de la Sierra,-17.8,-63.17,93.2,46,75,13.87,BO,10/23/2020
Yar-Sale,66.83,70.83,20.25,94,75,8.43,RU,10/23/2020
Guapiaçu,-20.8,-49.22,85.39,55,29,10.51,BR,10/23/2020
Evensk,61.95,159.23,33.4,90,94,4.34,RU,10/23/2020
Clyde River,70.47,-68.59,19.4,85,90,6.93,CA,10/23/2020
Khatanga,71.97,102.5,6.8,95,100,7.02,RU,10/23/2020
Panabá,21.28,-88.27,84.29,79,20,4.09,MX,10/23/2020
Yamada,39.47,141.95,53.87,78,0,6.17,JP,10/23/2020
Gamboula,4.12,15.14,76.24,92,100,1.36,CF,10/23/2020
Elko,41,-115.5,19.4,48,1,3.4,US,10/23/2020
Kununurra,-15.77,128.73,84.2,66,82,4.7,AU,10/23/2020
Sarab,38.61,44.99,63.3,33,0,3.51,IR,10/23/2020
Airai,-8.93,125.41,63.05,100,82,0.76,TL,10/23/2020
Yur’yevets,57.32,43.1,47.95,93,89,12.35,RU,10/23/2020
Saint-Paul,-21.01,55.27,75.2,69,40,11.41,RE,10/23/2020
Broken Hill,-31.95,141.43,62.6,93,75,16.11,AU,10/23/2020
Touros,-5.2,-35.46,84.2,70,75,19.46,BR,10/23/2020
Hwange,-18.37,26.5,91.9,15,41,5.57,ZW,10/23/2020
Chengzhong,30.95,113.55,60.8,51,34,8.95,CN,10/23/2020
Ouadda,8.08,22.4,75.31,80,79,2.08,CF,10/23/2020
San Andrés,12.58,-81.7,86,74,40,2.24,CO,10/23/2020
Harlingen,26.19,-97.7,84,83,75,8.05,US,10/23/2020
Krasnyy Yar,46.53,48.35,53.6,81,0,8.95,RU,10/23/2020
Petropavlovsk-Kamchatskiy,53.05,158.65,35.6,80,75,11.18,RU,10/23/2020
Paamiut,61.99,-49.67,32.41,85,68,26.55,GL,10/23/2020
Santa Pola,38.19,-0.57,71.6,56,20,9.17,ES,10/23/2020
Balkanabat,39.51,54.37,58.89,64,5,7.16,TM,10/23/2020
Maceió,-9.67,-35.74,84.2,62,40,12.75,BR,10/23/2020
Port Hardy,50.7,-127.42,41,93,90,24.16,CA,10/23/2020
Ruteng,-8.61,120.47,64.8,100,70,2.57,ID,10/23/2020
Cabaiguán,22.08,-79.5,80.6,78,75,10.29,CU,10/23/2020
Calvinia,-31.47,19.78,84.13,18,5,10.33,ZA,10/23/2020
Saint Anthony,45.02,-93.22,34,86,90,9.17,US,10/23/2020
Williston,48.15,-103.62,12,82,0,1.01,US,10/23/2020
Aligoodarz,33.4,49.69,53.19,36,6,4.23,IR,10/23/2020
Les Trois-Îlets,14.54,-61.04,89.6,66,20,19.46,MQ,10/23/2020
Hakodate,41.78,140.74,52.29,77,82,15.84,JP,10/23/2020
Edd,13.93,41.69,86.38,65,22,3.49,ER,10/23/2020
Taupo,-38.68,176.08,55.99,90,49,1.01,NZ,10/23/2020
Itoman,26.12,127.67,71.6,60,75,20.8,JP,10/23/2020
Kamyshevatskaya,46.41,37.96,61.83,87,1,13.13,RU,10/23/2020
Malumfashi,11.79,7.62,88.59,24,39,6.51,NG,10/23/2020
Sukhobezvodnoye,57.05,44.89,42.62,95,89,7.38,RU,10/23/2020
Sistranda,63.73,8.83,39.2,86,40,6.93,NO,10/23/2020
Lethem,3.38,-59.8,97.54,36,3,7.58,GY,10/23/2020
Arecibo,18.47,-66.72,90,72,0,1.01,PR,10/23/2020
Athabasca,54.72,-113.29,15.35,88,1,2.46,CA,10/23/2020
Kichera,55.94,110.1,33.75,83,12,1.34,RU,10/23/2020
Teeli,51.03,90.23,31.62,90,99,1.45,RU,10/23/2020
Lyngseidet,69.58,20.22,37.4,96,75,4.7,NO,10/23/2020
Vostok,46.49,135.88,25.25,100,100,17.9,RU,10/23/2020
Poum,-20.23,164.02,76.23,77,2,6.73,NC,10/23/2020
Taksimo,56.34,114.88,22.33,91,59,0.76,RU,10/23/2020
Lieksa,63.32,30.02,34.61,89,100,13.76,FI,10/23/2020
Warr Acres,35.52,-97.62,43,75,90,25.28,US,10/23/2020
Angoulême,45.65,0.15,63,87,48,5.82,FR,10/23/2020
Sisimiut,66.94,-53.67,25.88,90,56,6.33,GL,10/23/2020
